"ledger_id","results_section","paragraph_heading","claim_level","permitted_claim","exact_numeric_anchors","source_data","row_selector","canonical_scripts","display_cross_reference","required_caveat","prohibited_wording","reviewer_targets","status"
"R1.P1","1","Design, biological unit, and analysis sets","descriptive","The primary comparison comprised three 18-month-old male mice per group sampled at 24 h; the contrast is combined sevoflurane-plus-laparotomy exposure versus oxygen control, and three distinct cell sets served different analyses.","n=3 oxygen control and n=3 combined exposure; 7,461 submitted-partition audit cells; 90/7,461 Scrublet-predicted doublets (1.21%); 7,371 primary molecular-analysis cells; 7,367 conditional-composition cells after excluding the 94-cell partition 6.","revision_work/results_rebuild/figure1/data/panel_ready/fig01_design.csv | revision_work/results_rebuild/figure1/data/panel_ready/fig01_analysis_sets.csv | revision_work/results_rebuild/tables1_2/outputs/Table1_microglial_analysis_set_audit.csv","all rows; do not merge the 7,367- and 7,371-cell sets","revision_work/results_rebuild/figure1/scripts/78_prepare_glia_R1_figure1_data.R | revision_work/results_rebuild/tables1_2/scripts/80_prepare_glia_R1_tables1_2.R","Figure 1A; Table 1","No anesthesia-only arm; anesthesia and laparotomy effects cannot be separated; animal/library is the biological unit.","surgery caused; anesthesia caused; interaction effect; cells as biological replicates","R2 major 2; R2 minor 10","LOCKED_FOR_DRAFTING"
"R1.P2","1","Retrospective partition annotation and doublet/contamination audit","descriptive","The seven numeric partitions are a submitted computational solution; legacy biological names are traceability fields only. Partition 6 was doublet-enriched and was excluded from biological interpretation and conditional composition.","Partition 6: 82/94 Scrublet-predicted doublets (87.2%), leaving 12 predicted singlets; other partitions: 8 predicted doublets total; highest BAM/CAM marker detection 1.515%; Ttr detection 46.126%-55.798% across partitions; partition-6 oligodendrocyte-lineage marker detection 98.936%-100%; 17,878 detected symbol-deduplicated genes; Table S1B has 14,390 retained positive-marker rows.","revision_work/results_rebuild/figureS1/outputs/tableS1/TableS1_partA_partition_summary.csv | revision_work/results_rebuild/figureS1/data/panel_ready/figS01_detection_heatmap.csv | revision_work/results_rebuild/figureS1/data/panel_ready/figS01_metadata.csv | revision_work/results_rebuild/figureS1/outputs/tableS1/TableS1_partB_marker_audit.csv.gz","partitions 0-6; gene_group selectors; all retained marker rows","revision_work/results_rebuild/figureS1/scripts/91_prepare_glia_R1_figureS1_tableS1.py | revision_work/results_rebuild/figureS1/scripts/92_plot_glia_R1_figureS1.R","Figure S1; Table S1","Per-cell marker statistics are descriptive annotation diagnostics, not biological-replicate inference; predicted doublets are not confirmed doublets.","validated states; confirmed doublets; proof of purity; ambient-RNA correction; published-signature alignment","R1 major 1; R1 minor 2, 8, 9, 11","LOCKED_FOR_DRAFTING"
"R1.P3","1","Partition stability diagnostics","descriptive sensitivity","The submitted numeric partition was sensitive to Leiden seed on the stored graph; conditional inherited-PC graph-reconstruction diagnostics did not constitute end-to-end or biological validation of discrete states.","Stored graph resolution 0.4: seed 0 ARI 1.000; seeds 1/7/42/123/2024 ARI 0.491/0.586/0.513/0.403/0.517 and recovered 6 or 7 partitions; 15 pairwise ARIs mean 0.529, range 0.365-0.714; each subsample 5,969/7,461 cells; variable-seed non-partition-6 mean best-match Jaccard 0.413-0.682 and partition 6 0.946; 6 or 7 partitions occurred in 92% variable-seed and 88% fixed-seed runs.","revision_work/results_rebuild/figure1/data/panel_ready/fig01_seed_stability.csv | revision_work/results_rebuild/figureS2/outputs/tableS2/TableS2A_fixed_stored_graph_seed_results.csv | revision_work/results_rebuild/figureS2/outputs/tableS2/TableS2B_fixed_stored_graph_pairwise_ari.csv | revision_work/results_rebuild/figureS2/outputs/tableS2/TableS2C_subsampling_submitted_partition_jaccard.csv | revision_work/results_rebuild/figureS2/outputs/tableS2/TableS2D_subsampling_cluster_count_distribution.csv | revision_work/results_rebuild/figureS2/outputs/tableS2/TableS2E_resolution_sweep_summary.csv | revision_work/results_rebuild/figureS2/outputs/tableS2/TableS2F_resolution_sweep_per_partition.csv","all stored-graph seeds; all 15 seed pairs; partitions 0-6; both seed arms; all tested resolutions","revision_work/results_rebuild/figureS2/scripts/91_prepare_glia_R1_figureS2_tableS2.R | revision_work/results_rebuild/figureS2/scripts/92_plot_glia_R1_figureS2.R","Figure 1B-C; Figure S2; Table S2","The conditional analyses inherited whole-cell PCs and did not resample animals or reconstruct cell selection, normalization, feature selection, or PCs; the 0.75 Jaccard reference is descriptive only.","bootstrap; animal resampling; end-to-end stability; proof of a continuum; proof every partition is invalid","R1 major 1; R1 minor 1","LOCKED_FOR_DRAFTING"
"R1.P4","1","Conditional per-animal composition","descriptive association","Conditional on the seed-sensitive submitted partition, animal-level composition did not provide consistent evidence for expansion of any submitted non-partition-6 label.","Six mean differences ranged from -3.511 to +6.130 percentage points; every 95% CI crossed zero; exact P=.30-.90; no perfect animal-level separation. Partition 0: +2.316 pp, 95% CI -28.783 to +33.415, d=0.175, P=.70. Partition 1: +6.130 pp, 95% CI -11.293 to +23.553, d=0.975, P=.30.","revision_work/results_rebuild/figure1/data/panel_ready/fig01_composition.csv | revision_work/results_rebuild/figure1/data/panel_ready/fig01_composition_effects.csv | revision_work/results_rebuild/tables1_2/outputs/Table2_partA_per_animal_composition.csv | revision_work/results_rebuild/tables1_2/outputs/Table2_partB_animal_level_contrasts.csv","partitions 0-5; all six animals","revision_work/results_rebuild/figure1/scripts/78_prepare_glia_R1_figure1_data.R | revision_work/results_rebuild/tables1_2/scripts/80_prepare_glia_R1_tables1_2.R","Figure 1D; Table 2","Composition percentages condition on exclusion of partition 6 and do not use the 7,371-cell molecular-analysis set; absence of consistent evidence is not evidence of no effect.","state expansion; no compositional effect exists; reproducible biological states","R1 major 1; R1 minor 2, 10; R2 minor 10","LOCKED_FOR_DRAFTING"
"R2.P0","2","Complete primary pseudobulk result and technical ceiling","exploratory association","The complete primary transcriptome-wide pseudobulk result was mixed and animal-sensitive; a strong control-directed Ttr association could not be separated from ambient-RNA or other sample-processing contributions.","13,926 tested features; 6,632 non-missing adjusted P values; 40 BH FDR<.05 in the full fit, comprising 11 positive and 29 negative estimates; animal-omission FDR-hit counts 10-191; five full-fit hits remained FDR<.05 in all six omissions: Ccl9, H1f2, Lst1, Tnfaip3, and Ttr. Ttr log2 fold change -4.477331, FDR 2.046529e-10, and detection 46.126%-55.798% across submitted partitions.","revision_work/results_rebuild/figure2/outputs/tableS3/TableS3D_primary_transcriptome_deseq2.csv | revision_work/results_rebuild/figure2/outputs/tableS3/TableS3E_primary_transcriptome_loo_summary.csv | revision_work/results_rebuild/figureS1/data/panel_ready/figS01_detection_heatmap.csv","all 13,926 Table S3D rows; all seven Table S3E scenarios; Ttr detection rows across partitions 0-6","revision_work/results_rebuild/figure2/scripts/95_build_glia_R1_tableS3_primary_transcriptome.R | revision_work/results_rebuild/figureS1/scripts/91_prepare_glia_R1_figureS1_tableS1.py","Figure S1; Table S1; Table S3D-E","Unfiltered droplets were unavailable; Ttr cannot be assigned to biological expression, ambient RNA, or processing differences. FDR-hit counts and omission fits do not define a coherent program.","coherent exposure-induced program; Ttr proves contamination; stable genome-wide response; treatment-specific transcriptome","R1 major 5; R1 minor 5; R2 major 1; R2 minor 7","LOCKED_FOR_DRAFTING"
"R2.P1","2","Author-selected panel status and animal heterogeneity","exploratory association","The seven transcripts form an author-selected, post hoc exploratory panel; animal-level values were heterogeneous and S3 had the highest observed panel value.","Oxygen-control panel values: C1 2.239, C2 2.170, C3 2.509 log2-CPM; combined-exposure values: S1 3.100, S2 2.411, S3 4.613.","revision_work/results_rebuild/figure2/outputs/tableS3/TableS3_animal_values.csv","outcome_type=panel; outcome=author_selected_isg7; samples C1-S3","revision_work/results_rebuild/figure2/scripts/82_prepare_glia_R1_figure2_data.R | revision_work/results_rebuild/figure2/scripts/83_plot_glia_R1_figure2.R","Figure 2A,C; Table S3A","The panel was not prespecified and is not an independent validation signature; S3 remains in the primary estimate.","core signature; prespecified signature; uniform induction; S3 outlier; independent validation","R2 major 3; R2 minor 8, 11","LOCKED_FOR_DRAFTING"
"R2.P2","2","Individual-transcript estimates","exploratory association","All seven direct animal-level mean differences and DESeq2 log2 fold changes were positive in the full cohort, but the selected genes did not form a multiplicity-supported set.","Direct mean differences +0.611 to +1.395 log2-CPM; DESeq2 log2 fold changes +0.846 to +1.681; no selected transcript had reported BH-adjusted P<.05; five adjusted P values were NA after DESeq2 independent filtering.","revision_work/results_rebuild/figure2/outputs/tableS3/TableS3_direct_and_deseq2_effects.csv","outcome_type=gene; seven selected transcripts","revision_work/results_rebuild/figure2/scripts/82_prepare_glia_R1_figure2_data.R | revision_work/results_rebuild/figure2/scripts/83_plot_glia_R1_figure2.R","Figure 2B; Table S3B","Direct log2-CPM differences and DESeq2 log2 fold changes are distinct estimands; report adjusted-P NA as independent-filtering output, not as significance or absence.","significant interferon response; validated program; IRF7 regulation; non-significance reflects low power","R1 major 2, 5; R2 major 3; R2 minor 7, 11","LOCKED_FOR_DRAFTING"
"R2.P3","2","Equal-gene-weight panel estimate and animal influence","exploratory association","The full-cohort equal-gene-weight panel mean was higher under combined exposure; its confidence interval was wide, and all systematic animal omissions retained a positive direction while omission of S3 substantially attenuated the magnitude.","Full difference +1.068574 log2-CPM, 95% CI -1.638338 to +3.775485, d=1.324749, exact P=.20; six omission estimates +0.449 to +1.550; omit S3 +0.449273, 57.96% attenuation from full; omit-S3 Ifitm3 -0.126515 and Isg15 -0.030750.","revision_work/results_rebuild/figure2/outputs/tableS3/TableS3_direct_and_deseq2_effects.csv | revision_work/results_rebuild/figure2/outputs/tableS3/TableS3_leave_one_animal_out.csv","panel row in full table; outcome=author_selected_isg7 for all seven scenarios; Ifitm3/Isg15 with dropped_animal=S3","revision_work/results_rebuild/figure2/scripts/82_prepare_glia_R1_figure2_data.R | revision_work/results_rebuild/figure2/scripts/83_plot_glia_R1_figure2.R","Figure 2C-D; Table S3B-C","Omission estimates are influence diagnostics, not independent tests; panel-level sign retention does not establish gene-by-gene robustness.","robust program; significant panel; S3 excluded; stronger after omitting S3","R2 major 3; R2 minor 7, 11","LOCKED_FOR_DRAFTING"
"R3.P1","3","Background-adjusted score, fixed-component audit, and parameter/panel sensitivity","exploratory sensitivity","The fixed background-adjusted selected-panel score was positive in the full cohort but reversed after omitting S3; the archived component arithmetic shows that the selected-component contrast fell below the fixed algorithmic matched-control contrast, and the full-versus-omit-S3 pattern persisted across tested scoring parameters and leave-one-transcript panels.","Fixed score full +0.046495, 95% CI -0.176625 to +0.269614, d=0.713717, exact P=.80; full selected-component difference +0.057491 and matched-control-component difference +0.010996. Omit S3 score -0.006090, d=-0.537888; omit-S3 selected-component difference +0.005294 and matched-control-component difference +0.011384. Exact fixed matched-control manifest n=249, SHA-256 38af968fe25becbf6dd7fa95d05fb508819a9a51ac90f1cd0c3a5d35fedb6a1f. All tested seed/control-size/bin full differences positive and omit-S3 differences negative; seven leave-one-transcript panels full +0.0299 to +0.0535 and omit-S3 -0.00957 to -0.00239.","revision_work/results_rebuild/figure3/outputs/tableS4/TableS4B_score_parameter_sensitivity.csv | revision_work/results_rebuild/figure3/outputs/tableS4/TableS4C_score_parameter_summary.csv | revision_work/results_rebuild/figure3/outputs/tableS4/TableS4D_score_leave_one_gene_out.csv | revision_work/results_rebuild/figure3/outputs/tableS4/TableS4J_fixed_isg_score_animal_values.csv | revision_work/results_rebuild/figure3/outputs/tableS4/TableS4K_fixed_isg_score_effects_full_and_animal_omissions.csv | revision_work/results_rebuild/figure3/outputs/tableS4/TableS4L_fixed_selected_panel_score_control_gene_manifest.csv | revision_work/results_rebuild/figure3/outputs/tableS4/TableS4M_fixed_selected_panel_score_component_animal_values.csv | revision_work/results_rebuild/figure3/outputs/tableS4/TableS4N_fixed_selected_panel_score_component_effects_full_and_animal_omissions.csv","all parameter rows; all seven leave-one-transcript panels; all 249 fixed controls; all six component animal rows; fixed full and six component-omission scenarios","independent_audit/audit_score_genes_fixed_component_decomposition.py | revision_work/results_rebuild/figure3/scripts/84_prepare_glia_R1_figure3_data.R | revision_work/results_rebuild/figure3/scripts/85_plot_glia_R1_figure3.R","Figure 3A; Table S4B-D,J-N","Background-adjusted score_genes and direct panel expression answer different questions; the matched-control component is an algorithmic reference rather than a biological background program; parameter runs and omission rows are not independent replications.","invalidates direct expression; stable interferon program; replication across parameter settings; S3 outlier; matched controls are a neutral biological background; matched-control genes explain a biological mechanism","R1 major 2, 5; R2 major 3; R2 minor 8, 11","LOCKED_FOR_DRAFTING"
"R3.P2","3","Focused interferon Hallmarks under animal omission","exploratory sensitivity","Both focused interferon Hallmark NES values reversed after omitting S3; the interferon-alpha set no longer met the all-Hallmark FDR threshold, whereas the interferon-gamma set met it in the opposite direction.","Interferon-alpha: full NES +2.171456, FDR 3.16e-6; omit S3 NES -1.098080, FDR .343874. Interferon-gamma: full NES +1.580309, FDR .004686; omit S3 NES -1.568753, FDR .003342.","revision_work/results_rebuild/figure3/outputs/tableS4/TableS4A_hallmark_full_and_loo.csv","ID=HALLMARK_INTERFERON_ALPHA_RESPONSE or HALLMARK_INTERFERON_GAMMA_RESPONSE; scenarios Full cohort and Omit S3","revision_work/results_rebuild/figure3/scripts/84_prepare_glia_R1_figure3_data.R | revision_work/results_rebuild/figure3/scripts/85_plot_glia_R1_figure3.R","Figure 3B; Table S4A","Hallmark NES is a ranked transcriptomic enrichment statistic, not a direct measurement of pathway or regulator activity; omission does not authorize excluding S3.","IRF7 causal activity; type-I interferon specificity; pathway activation measurement; omit S3 from primary analysis","R1 major 2, 5; R2 major 3; R2 minor 11","LOCKED_FOR_DRAFTING"
