"excluded_scope","reason"
"non_ifn_discovery_protocol and non_ifn_discovery_execution_*","Isolated discovery branch; not part of the revised manuscript"
"GSE222430/GSE303920 identity and biological-preflight branches","Feasibility work not integrated into the revised manuscript"
"Suo 2022 whole-transcriptome feasibility branch","Feasibility work not integrated into the revised manuscript"
"mean-UMI depth-thinning exploratory audit","Not reported in the revised manuscript"
"retired IEG-only display/table payload","Removed from the final manuscript and clean Table S4"
"obsolete IRF7-regulatory, 173-gene, and TNF-PTPRS analyses","Contradicts the revised exploratory claim boundary"
"raw GEO matrices and large processed AnnData objects","Public accessions are cited; repository retains derived data and hashes"
"passphrases, encrypted crosswalks, tokens, credentials, and secrets","Never permitted in a public repository"
"obsolete graphical abstract and nonfinal figure previews","Not part of the final revision package"
"unrelated follow-up and ALDH2 analyses","Outside the GLIA revision scope"
