"part","file_stem","contents","unit_or_scale","interpretation_limit"
"A","TableS4A_hallmark_full_and_loo","All 50 mouse MSigDB Hallmarks for the full cohort and six animal omissions","GSEA NES","Animal omissions are influence diagnostics; FDR is fit-specific; all rows derive from the same six animals"
"B","TableS4B_selected_panel_score_parameter_sensitivity","Selected seven-transcript score_genes seed, control-size, and bin-number sensitivity runs","score_genes difference","Parameter sensitivity describes computational behavior within the same six animals"
"C","TableS4C_selected_panel_score_parameter_summary","Summaries of the selected seven-transcript score_genes parameter sweeps","score_genes difference","Parameter ranges do not quantify population uncertainty"
"D","TableS4D_score_leave_one_transcript_out","Seven single-transcript-omission score_genes runs","score_genes difference","Transcript omission assesses panel-definition sensitivity rather than biological replication"
"E","TableS4E_cell_inclusion_selected_panel","Selected direct-expression panel cell-inclusion sensitivity for the full cohort and six animal omissions","Direct log2 counts-per-million difference","Alternative cell inclusion within the same cohort is not biological replication"
"F","TableS4F_cell_inclusion_hallmark","Four focused-Hallmark cell-inclusion sensitivities for the full cohort and six animal omissions","GSEA NES","NES does not directly measure pathway or protein activity"
"G","TableS4G_fixed_selected_panel_score_animal_values","Fixed selected seven-transcript score for each animal","score_genes value","The score is relative to algorithmically matched controls and is distinct from direct expression"
"H","TableS4H_fixed_selected_panel_score_effects_full_and_animal_omissions","Fixed selected seven-transcript score effect and six animal omissions","score_genes difference","Animal omissions are influence diagnostics rather than independent tests"
"I","TableS4I_fixed_selected_panel_score_control_gene_manifest","Exact 249-gene matched-control manifest and scoring configuration","Gene-level algorithmic manifest","Matched controls are algorithmic references rather than a biological background program"
"J","TableS4J_fixed_selected_panel_score_component_animal_values","Selected, fixed matched-control, and reconstructed score components for each animal","Normalized-expression component means and score_genes value","Component subtraction is an arithmetic decomposition on the score scale"
"K","TableS4K_fixed_selected_panel_score_component_effects_full_and_animal_omissions","Selected, fixed matched-control, and score-component contrasts for the full cohort and six animal omissions","Normalized-expression component and score_genes differences","Animal omissions are descriptive; component arithmetic does not validate pathway specificity"
